都道府県名,西暦（年）,人口（総数）
香川県,2010.0,995842
愛媛県,2010.0,1431493
高知県,2010.0,764456
福岡県,2010.0,5071968
佐賀県,2010.0,849788
長崎県,2010.0,1426779
熊本県,2010.0,1817426
大分県,2010.0,1196529
宮崎県,2010.0,1135233
鹿児島県,2010.0,1706242
沖縄県,2010.0,1392818
北海道,2015.0,5381733
青森県,2015.0,1308265
岩手県,2015.0,1279594
宮城県,2015.0,2333899
秋田県,2015.0,1023119
山形県,2015.0,1123891
福島県,2015.0,1914039
茨城県,2015.0,2916976
栃木県,2015.0,1974255
群馬県,2015.0,1973115
埼玉県,2015.0,7266534
千葉県,2015.0,6222666
東京都,2015.0,13515271
神奈川県,2015.0,9126214
新潟県,2015.0,2304264
富山県,2015.0,1066328
石川県,2015.0,1154008
福井県,2015.0,786740
山梨県,2015.0,834930
長野県,2015.0,2098804
岐阜県,2015.0,2031903
静岡県,2015.0,3700305
愛知県,2015.0,7483128
三重県,2015.0,1815865
滋賀県,2015.0,1412916
京都府,2015.0,2610353
大阪府,2015.0,8839469
兵庫県,2015.0,5534800
奈良県,2015.0,1364316
和歌山県,2015.0,963579
鳥取県,2015.0,573441
島根県,2015.0,694352
岡山県,2015.0,1921525
広島県,2015.0,2843990
山口県,2015.0,1404729
徳島県,2015.0,755733
香川県,2015.0,976263
愛媛県,2015.0,1385262
高知県,2015.0,728276
福岡県,2015.0,5101556
佐賀県,2015.0,832832
長崎県,2015.0,1377187
熊本県,2015.0,1786170
大分県,2015.0,1166338
宮崎県,2015.0,1104069
鹿児島県,2015.0,1648177
沖縄県,2015.0,1433566
